sample	rate	group
Neg_1_N	83.30865134	5mC
Neg_2_N	83.91780342	5mC
Neg_3_N	84.33376235	5mC
Neg_4_N	83.22234692	5mC
Neg_1_T	83.97281154	5mC
Neg_2_T	86.10490307	5mC
Neg_3_T	84.19089502	5mC
Neg_4_T	85.46085466	5mC
Pos_1_N	67.76472961	5mC
Pos_2_N	67.7453458	5mC
Pos_3_N	68.03331832	5mC
Pos_4_N	54.1913255	5mC
Pos_1_T	68.94635784	5mC
Pos_2_T	68.45010883	5mC
Pos_3_T	67.55722698	5mC
Pos_4_T	68.1149124	5mC
Neg_1_N	16.69134866	non-5mC
Neg_2_N	16.08219658	non-5mC
Neg_3_N	15.66623765	non-5mC
Neg_4_N	16.77765308	non-5mC
Neg_1_T	16.02718846	non-5mC
Neg_2_T	13.89509693	non-5mC
Neg_3_T	15.80910498	non-5mC
Neg_4_T	14.53914534	non-5mC
Pos_1_N	32.23527039	non-5mC
Pos_2_N	32.2546542	non-5mC
Pos_3_N	31.96668168	non-5mC
Pos_4_N	45.8086745	non-5mC
Pos_1_T	31.05364216	non-5mC
Pos_2_T	31.54989117	non-5mC
Pos_3_T	32.44277302	non-5mC
Pos_4_T	31.8850876	non-5mC
